,url,nb_reviews,nb_stars,amazon_price,img_url
60,http://www.amazon.com/Tough-Customer-Novel-Sandra-Brown/dp/1416563113?tag=NYTBS-20,666,4.4,$7.80,"{""https://images-na.ssl-images-amazon.com/images/I/51dYQ2Igz6L._SX272_BO1,204,203,200_.jpg"":[274,498],""https://images-na.ssl-images-amazon.com/images/I/51dYQ2Igz6L._SY344_BO1,204,203,200_.jpg"":[191,346]}"
61,http://www.amazon.com/Spider-Bones-Tempe-Brennan-Reichs/dp/1439102406?tag=NYTBS-20,323,4.1,$7.19,"{""https://images-na.ssl-images-amazon.com/images/I/51sazqw2mSL._SX308_BO1,204,203,200_.jpg"":[310,499],""https://images-na.ssl-images-amazon.com/images/I/51sazqw2mSL._SY344_BO1,204,203,200_.jpg"":[215,346]}"
62,http://www.amazon.com/Body-Work-V-I-Warshawski-Novel/dp/0399156747?tag=NYTBS-20,120,3.9,$7.49,"{""https://images-na.ssl-images-amazon.com/images/I/51Nyc6soNRL._SY344_BO1,204,203,200_.jpg"":[229,346],""https://images-na.ssl-images-amazon.com/images/I/51Nyc6soNRL._SX328_BO1,204,203,200_.jpg"":[330,499]}"
63,http://www.amazon.com/The-Fort-Novel-Revolutionary-War/dp/006196963X?tag=NYTBS-20,260,3.9,$17.72,"{""https://images-na.ssl-images-amazon.com/images/I/51BmJWEwofL._SX326_BO1,204,203,200_.jpg"":[328,499],""https://images-na.ssl-images-amazon.com/images/I/51BmJWEwofL._SY344_BO1,204,203,200_.jpg"":[228,346]}"
64,http://www.amazon.com/The-Athena-Project-Brad-Thor/dp/1439192952?tag=NYTBS-20,568,3.7,$17.46,"{""https://images-na.ssl-images-amazon.com/images/I/51V6r%2B7Y2KL._SY344_BO1,204,203,200_.jpg"":[229,346],""https://images-na.ssl-images-amazon.com/images/I/51V6r%2B7Y2KL._SX328_BO1,204,203,200_.jpg"":[330,499]}"
65,http://www.amazon.com/Strategic-Moves-Stone-Barrington-Book/dp/0399157115?tag=NYTBS-20,246,4.0,$11.99,"{""https://images-na.ssl-images-amazon.com/images/I/51ajgwqQTRL._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51ajgwqQTRL._SX330_BO1,204,203,200_.jpg"":[332,499]}"
66,http://www.amazon.com/Secret-Soldier-John-Wells-Novel/dp/0399157085?tag=NYTBS-20,192,4.4,$10.62,"{""https://images-na.ssl-images-amazon.com/images/I/510K19nXAsL._SY344_BO1,204,203,200_.jpg"":[233,346],""https://images-na.ssl-images-amazon.com/images/I/510K19nXAsL._SX334_BO1,204,203,200_.jpg"":[336,499]}"
67,http://www.amazon.com/Pale-Demon-The-Hollows-Book-ebook/dp/B004A9037C?tag=NYTBS-20,551,4.7,,
68,http://www.amazon.com/Live-Myron-Bolitar-Harlan-Coben/dp/045123393X?tag=NYTBS-20,556,4.2,$7.49,"{""https://images-na.ssl-images-amazon.com/images/I/51ylZ8hJACL._SX287_BO1,204,203,200_.jpg"":[289,499],""https://images-na.ssl-images-amazon.com/images/I/51ylZ8hJACL._SY344_BO1,204,203,200_.jpg"":[201,346]}"
69,http://www.amazon.com/44-Charles-Street-A-Novel/dp/0440245176?tag=NYTBS-20,433,4.2,$7.05,"{""https://images-na.ssl-images-amazon.com/images/I/51KpTH5oZ9L._SX299_BO1,204,203,200_.jpg"":[301,499],""https://images-na.ssl-images-amazon.com/images/I/51KpTH5oZ9L._SY344_BO1,204,203,200_.jpg"":[209,346]}"
