,url,reviews,rating,price
8167,http://www.amazon.com/Deadlocked-Sookie-Stackhouse-Novel-Blood-ebook/dp/B0072NZZGM?tag=NYTBS-20,"1,871 customer reviews",3.9 out of 5 stars,$7.99 
8171,http://www.amazon.com/As-Crow-Flies-Longmire-Mysteries/dp/0670023515?tag=NYTBS-20,608 customer reviews,4.7 out of 5 stars,$11.99 
8172,http://www.amazon.com/The-Columbus-Affair-Novel-Admirals-ebook/dp/B005OCYQJU?tag=NYTBS-20,907 customer reviews,4.1 out of 5 stars,$9.99 
8173,http://www.amazon.com/Harbor-bonus-short-story-First/dp/0345535251?tag=NYTBS-20,"1,667 customer reviews",4.5 out of 5 stars,$5.99 
8174,http://www.amazon.com/Creole-Belle-Dave-Robicheaux-Novel-ebook/dp/B0061Q5MO6?tag=NYTBS-20,"1,092 customer reviews",4.4 out of 5 stars,$9.49 
8175,http://www.amazon.com/The-Spymasters-Men-War-Novel/dp/B00F6EABQI?tag=NYTBS-20,1 customer review,3.0 out of 5 stars,$39.90 
8176,http://www.amazon.com/The-Casual-Vacancy-J-K-Rowling/dp/0316228532?tag=NYTBS-20,"5,959 customer reviews",3.2 out of 5 stars,$11.99 
8177,http://www.amazon.com/The-Secret-Keeper-A-Novel-ebook/dp/B007EECSFA?tag=NYTBS-20,"3,560 customer reviews",4.5 out of 5 stars,$12.99 
8178,http://www.amazon.com/Poseidons-Arrow-Dirk-Pitt-Adventure/dp/0425265056?tag=NYTBS-20,"1,349 customer reviews",4.4 out of 5 stars,$4.99 
8179,http://www.amazon.com/Cross-Roads-WM-Paul-Young/dp/145551604X?tag=NYTBS-20,"1,962 customer reviews",4.5 out of 5 stars,$9.99 
8180,http://www.amazon.com/Agenda-21-Glenn-Beck-ebook/dp/B00902UC0W?tag=NYTBS-20,"2,880 customer reviews",4.5 out of 5 stars,$9.49 
8181,http://www.amazon.com/Winter-World-Book-Century-Trilogy/dp/0451419243?tag=NYTBS-20,"7,267 customer reviews",4.5 out of 5 stars,$7.99 
